method,task,regime,split,seed,episodes,success,success_probability,contact_mode_f1,boundary_error,unsafe_impulse,jam_rate,slip_overshoot,intervention_cost,data_efficiency_proxy
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,seen_shift,4,84,0.5357,0.4692,0.3299,0.3453,0.1016,0.1347,0.0922,0.155,0.3433
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,seen_shift,5,84,0.3929,0.4522,0.3478,0.3529,0.1012,0.1234,0.0856,0.155,0.3551
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,seen_shift,6,84,0.4524,0.4585,0.3299,0.3532,0.1155,0.1194,0.0846,0.155,0.3474
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,0,84,0.3929,0.4085,0.3504,0.363,0.1245,0.1515,0.0912,0.1615,0.3384
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,1,84,0.4405,0.4127,0.3451,0.3592,0.1204,0.138,0.1021,0.1615,0.3302
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,2,84,0.369,0.4257,0.3388,0.3498,0.126,0.1574,0.0972,0.1615,0.3448
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,3,84,0.4881,0.4176,0.3364,0.3524,0.1231,0.1475,0.0926,0.1615,0.3336
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,4,84,0.4643,0.424,0.3347,0.3615,0.1262,0.1435,0.0911,0.1615,0.3428
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,5,84,0.4405,0.4206,0.3324,0.3636,0.1283,0.1449,0.0859,0.1615,0.3399
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_geometry,6,84,0.381,0.4183,0.3226,0.3626,0.1267,0.1443,0.0877,0.1615,0.339
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,0,84,0.4881,0.428,0.3394,0.3648,0.1193,0.134,0.1377,0.1652,0.3543
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,1,84,0.4524,0.4161,0.3384,0.3547,0.1188,0.133,0.145,0.1652,0.3349
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,2,84,0.4048,0.4089,0.3444,0.3729,0.117,0.1392,0.1375,0.1652,0.336
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,3,84,0.4881,0.413,0.3394,0.3584,0.1283,0.1289,0.1424,0.1652,0.3164
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,4,84,0.3929,0.4136,0.3288,0.3648,0.121,0.1399,0.1394,0.1652,0.3355
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,5,84,0.3095,0.4161,0.3412,0.358,0.1194,0.1321,0.1417,0.1652,0.3281
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,unseen_friction,6,84,0.4286,0.4244,0.3387,0.3631,0.1212,0.1339,0.1357,0.1652,0.3325
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,0,84,0.3452,0.3691,0.3247,0.3864,0.1499,0.1604,0.1412,0.1764,0.3343
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,1,84,0.3333,0.3631,0.3096,0.3827,0.1512,0.1669,0.1419,0.1764,0.3305
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,2,84,0.3333,0.3582,0.3121,0.3776,0.1477,0.1624,0.1452,0.1764,0.3249
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,3,84,0.3214,0.3588,0.3334,0.3856,0.139,0.167,0.1501,0.1764,0.3412
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,4,84,0.3929,0.37,0.323,0.3878,0.1412,0.1673,0.1519,0.1764,0.3387
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,5,84,0.4643,0.3621,0.3185,0.3798,0.1488,0.1678,0.1384,0.1764,0.3306
diffusion_policy_surrogate,drawer_opening,combined_contact_shock,combined_stress,6,84,0.4048,0.3612,0.3164,0.385,0.1439,0.1584,0.142,0.1764,0.3288
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,0,84,0.5119,0.5872,0.3718,0.2711,0.0401,0.0581,0.0356,0.1315,0.3573
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,1,84,0.6905,0.585,0.3576,0.2738,0.036,0.0572,0.0429,0.1315,0.365
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,2,84,0.5833,0.5808,0.3559,0.2687,0.0474,0.0516,0.0336,0.1315,0.3629
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,3,84,0.6905,0.5784,0.3431,0.2706,0.0375,0.0631,0.0395,0.1315,0.3601
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,4,84,0.6071,0.5767,0.3575,0.2777,0.0382,0.0622,0.0467,0.1315,0.3587
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,5,84,0.5595,0.589,0.3633,0.2595,0.0323,0.0631,0.0301,0.1315,0.3449
diffusion_policy_surrogate,cable_routing,nominal_contact,nominal,6,84,0.4881,0.5806,0.3627,0.2654,0.0373,0.0575,0.042,0.1315,0.366
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,0,84,0.5357,0.5579,0.3425,0.2745,0.0405,0.0791,0.0507,0.1419,0.3477
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,1,84,0.4405,0.5542,0.3603,0.2808,0.0439,0.079,0.0607,0.1419,0.3452
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,2,84,0.5714,0.536,0.3321,0.2783,0.0413,0.0677,0.0667,0.1419,0.3528
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,3,84,0.5119,0.5408,0.3517,0.2839,0.0476,0.0704,0.0528,0.1419,0.3545
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,4,84,0.5357,0.5299,0.3265,0.2799,0.0361,0.0763,0.0443,0.1419,0.332
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,5,84,0.5833,0.5498,0.3376,0.2823,0.042,0.0736,0.0528,0.1419,0.3532
diffusion_policy_surrogate,cable_routing,nominal_contact,seen_shift,6,84,0.6071,0.5534,0.3387,0.2678,0.0434,0.0741,0.0613,0.1419,0.343
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,0,84,0.5,0.5186,0.3304,0.2793,0.0485,0.0844,0.0584,0.1471,0.3485
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,1,84,0.631,0.5227,0.3391,0.2866,0.0441,0.0858,0.0606,0.1471,0.3264
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,2,84,0.4167,0.5226,0.3415,0.2765,0.0428,0.0842,0.0548,0.1471,0.343
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,3,84,0.5,0.5361,0.3198,0.2854,0.0414,0.0809,0.0535,0.1471,0.3395
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,4,84,0.5357,0.5319,0.3432,0.2805,0.0443,0.0796,0.0673,0.1471,0.3225
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,5,84,0.4048,0.5224,0.3445,0.2822,0.041,0.0829,0.0598,0.1471,0.3411
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_geometry,6,84,0.5476,0.5231,0.3282,0.2793,0.0498,0.0719,0.0549,0.1471,0.3348
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,0,84,0.5,0.5131,0.3507,0.2851,0.0482,0.0778,0.091,0.15,0.3382
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,1,84,0.5833,0.5105,0.3331,0.2879,0.046,0.0775,0.098,0.15,0.3352
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,2,84,0.5357,0.5069,0.3377,0.2828,0.0381,0.0759,0.0919,0.15,0.3487
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,3,84,0.5238,0.5163,0.3371,0.2791,0.0445,0.0786,0.09,0.15,0.3414
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,4,84,0.631,0.5175,0.349,0.2924,0.0479,0.0835,0.0876,0.15,0.3477
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,5,84,0.4762,0.5128,0.3357,0.2898,0.0447,0.081,0.0988,0.15,0.3248
diffusion_policy_surrogate,cable_routing,nominal_contact,unseen_friction,6,84,0.4762,0.5119,0.3451,0.2862,0.0456,0.0794,0.1045,0.15,0.342
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,0,84,0.4762,0.4788,0.3364,0.292,0.0545,0.1042,0.1042,0.1589,0.3193
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,1,84,0.4643,0.4851,0.3296,0.2892,0.0534,0.0954,0.0954,0.1589,0.3203
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,2,84,0.5476,0.4814,0.3077,0.2904,0.0495,0.0973,0.1025,0.1589,0.3403
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,3,84,0.4286,0.4825,0.3135,0.2942,0.0478,0.101,0.095,0.1589,0.3261
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,4,84,0.5119,0.4749,0.3076,0.2907,0.0476,0.1055,0.1024,0.1589,0.3401
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,5,84,0.4405,0.4916,0.3305,0.2866,0.0426,0.0968,0.0986,0.1589,0.3341
diffusion_policy_surrogate,cable_routing,nominal_contact,combined_stress,6,84,0.5833,0.4672,0.3302,0.2939,0.0432,0.0954,0.1011,0.1589,0.3205
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,0,84,0.5476,0.5311,0.3583,0.2984,0.0753,0.0864,0.0446,0.14,0.3614
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,1,84,0.6071,0.5505,0.3427,0.3071,0.0741,0.0834,0.037,0.14,0.3657
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,2,84,0.5357,0.5492,0.3422,0.3096,0.0761,0.0836,0.042,0.14,0.3516
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,3,84,0.5714,0.5385,0.3411,0.301,0.0769,0.0825,0.0453,0.14,0.3468
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,4,84,0.4524,0.5547,0.3453,0.3113,0.0673,0.0787,0.0361,0.14,0.3557
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,5,84,0.4762,0.5365,0.3433,0.2948,0.0694,0.0803,0.0479,0.14,0.3541
diffusion_policy_surrogate,cable_routing,impact_onset,nominal,6,84,0.5,0.5347,0.3504,0.3112,0.0733,0.0809,0.0461,0.14,0.3522
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,0,84,0.4286,0.5074,0.3393,0.3178,0.095,0.096,0.0534,0.1526,0.3443
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,1,84,0.5833,0.4897,0.3418,0.3163,0.0948,0.1082,0.0616,0.1526,0.3535
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,2,84,0.5,0.4998,0.3317,0.3169,0.0949,0.1029,0.0679,0.1526,0.3392
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,3,84,0.5119,0.4948,0.3475,0.3099,0.0925,0.099,0.0569,0.1526,0.3469
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,4,84,0.4286,0.5019,0.3414,0.3213,0.0937,0.1101,0.0565,0.1526,0.3387
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,5,84,0.4286,0.4869,0.3388,0.3128,0.0918,0.1004,0.0562,0.1526,0.3357
diffusion_policy_surrogate,cable_routing,impact_onset,seen_shift,6,84,0.5357,0.505,0.3415,0.333,0.0926,0.1036,0.0479,0.1526,0.3564
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,0,84,0.381,0.4569,0.3347,0.3335,0.1032,0.1165,0.059,0.1588,0.3416
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,1,84,0.5714,0.4663,0.3199,0.3235,0.1059,0.1166,0.069,0.1588,0.3403
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,2,84,0.4524,0.4568,0.3386,0.3283,0.1145,0.1144,0.0609,0.1588,0.3305
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,3,84,0.4762,0.4718,0.3221,0.3368,0.1022,0.1163,0.0618,0.1588,0.351
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,4,84,0.5,0.4832,0.3411,0.3256,0.1078,0.1056,0.0546,0.1588,0.3397
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,5,84,0.4762,0.46,0.3278,0.3478,0.1167,0.1143,0.0638,0.1588,0.3379
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_geometry,6,84,0.4167,0.4579,0.3487,0.3282,0.1139,0.1139,0.0654,0.1588,0.3315
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,0,84,0.5476,0.4718,0.3295,0.3326,0.117,0.1163,0.0952,0.1624,0.3394
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,1,84,0.381,0.4746,0.3424,0.3318,0.1039,0.1085,0.0985,0.1624,0.3425
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,2,84,0.5119,0.4659,0.3343,0.3443,0.0993,0.1112,0.1041,0.1624,0.3243
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,3,84,0.4524,0.4586,0.3045,0.3356,0.1108,0.1206,0.0971,0.1624,0.3463
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,4,84,0.5,0.4749,0.3324,0.3304,0.1032,0.1074,0.098,0.1624,0.3346
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,5,84,0.4524,0.4666,0.3246,0.3238,0.1047,0.1177,0.0939,0.1624,0.3345
diffusion_policy_surrogate,cable_routing,impact_onset,unseen_friction,6,84,0.4881,0.471,0.3336,0.3387,0.101,0.119,0.0996,0.1624,0.3382
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,0,84,0.5595,0.4239,0.3089,0.3449,0.1316,0.1336,0.1037,0.1732,0.3335
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,1,84,0.4643,0.4163,0.3193,0.3344,0.1251,0.1322,0.1003,0.1732,0.3232
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,2,84,0.3095,0.4163,0.3325,0.3328,0.1249,0.1233,0.0961,0.1732,0.3369
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,3,84,0.5119,0.4323,0.3237,0.3455,0.1283,0.1258,0.0997,0.1732,0.3319
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,4,84,0.381,0.4131,0.3192,0.3555,0.127,0.1346,0.0991,0.1732,0.3272
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,5,84,0.3571,0.4164,0.3105,0.3491,0.1277,0.1343,0.1036,0.1732,0.3249
diffusion_policy_surrogate,cable_routing,impact_onset,combined_stress,6,84,0.4405,0.4301,0.3223,0.3537,0.1281,0.1331,0.0938,0.1732,0.3232
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,0,84,0.6071,0.5335,0.3651,0.2998,0.064,0.0815,0.0712,0.1392,0.3536
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,1,84,0.5595,0.5283,0.3813,0.3081,0.0597,0.0743,0.0667,0.1392,0.353
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,2,84,0.5833,0.5538,0.3653,0.3146,0.0559,0.0703,0.0756,0.1392,0.3646
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,3,84,0.5833,0.5377,0.3461,0.3025,0.062,0.0733,0.0695,0.1392,0.3607
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,4,84,0.3929,0.5437,0.3522,0.3019,0.0512,0.0743,0.084,0.1392,0.367
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,5,84,0.5833,0.5355,0.3604,0.3147,0.0545,0.0772,0.08,0.1392,0.3614
diffusion_policy_surrogate,cable_routing,stick_slip_transition,nominal,6,84,0.5119,0.5328,0.3481,0.3006,0.0598,0.0829,0.0814,0.1392,0.3592
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,0,84,0.4881,0.5049,0.3522,0.3331,0.0729,0.0947,0.0886,0.1515,0.3631
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,1,84,0.4643,0.493,0.338,0.3217,0.0743,0.089,0.0968,0.1515,0.3364
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,2,84,0.631,0.5011,0.3335,0.32,0.0727,0.0897,0.1012,0.1515,0.332
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,3,84,0.5595,0.4899,0.334,0.3298,0.0724,0.0913,0.0996,0.1515,0.3504
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,4,84,0.4286,0.5089,0.3347,0.3164,0.0771,0.0953,0.087,0.1515,0.3521
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,5,84,0.4762,0.4895,0.3384,0.3254,0.0732,0.097,0.1001,0.1515,0.3551
diffusion_policy_surrogate,cable_routing,stick_slip_transition,seen_shift,6,84,0.5357,0.494,0.3374,0.3217,0.0744,0.0862,0.0962,0.1515,0.3482
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,0,84,0.5,0.4836,0.3363,0.3284,0.0818,0.1077,0.0978,0.1577,0.335
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,1,84,0.4167,0.4609,0.3582,0.3367,0.0842,0.101,0.0992,0.1577,0.3521
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,2,84,0.4881,0.474,0.3496,0.3214,0.0812,0.1116,0.1106,0.1577,0.3622
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,3,84,0.4524,0.4723,0.3256,0.3313,0.0826,0.1062,0.107,0.1577,0.3526
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,4,84,0.3571,0.4665,0.3346,0.3311,0.0811,0.1121,0.104,0.1577,0.3415
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,5,84,0.5119,0.4543,0.3429,0.3352,0.081,0.1113,0.0945,0.1577,0.34
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_geometry,6,84,0.4167,0.4722,0.3411,0.3306,0.0783,0.102,0.1082,0.1577,0.3501
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,0,84,0.5119,0.4492,0.3392,0.3597,0.0862,0.1004,0.1594,0.1612,0.3414
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,1,84,0.4762,0.4472,0.3355,0.3475,0.0781,0.1132,0.1539,0.1612,0.3531
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,2,84,0.4167,0.4562,0.3237,0.3531,0.0881,0.1077,0.156,0.1612,0.3438
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,3,84,0.4286,0.4276,0.3088,0.3439,0.0828,0.1092,0.1504,0.1612,0.3413
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,4,84,0.4048,0.4314,0.3344,0.35,0.0886,0.1036,0.1507,0.1612,0.3321
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,5,84,0.381,0.4408,0.3376,0.345,0.0793,0.1079,0.1577,0.1612,0.3335
diffusion_policy_surrogate,cable_routing,stick_slip_transition,unseen_friction,6,84,0.3929,0.4454,0.3309,0.3451,0.0882,0.1127,0.1607,0.1612,0.3372
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,0,84,0.3095,0.409,0.3255,0.3481,0.0918,0.1267,0.1591,0.1718,0.3433
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,1,84,0.4405,0.4066,0.3239,0.3664,0.0931,0.1171,0.1711,0.1718,0.3361
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,2,84,0.4524,0.4018,0.3213,0.3583,0.0955,0.1251,0.1583,0.1718,0.3288
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,3,84,0.3452,0.404,0.311,0.359,0.0937,0.1265,0.1554,0.1718,0.3261
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,4,84,0.381,0.4093,0.3198,0.358,0.0909,0.1213,0.1632,0.1718,0.3327
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,5,84,0.4167,0.4171,0.327,0.3637,0.0966,0.1218,0.1617,0.1718,0.3313
diffusion_policy_surrogate,cable_routing,stick_slip_transition,combined_stress,6,84,0.381,0.3948,0.3148,0.3582,0.098,0.1203,0.1596,0.1718,0.3182
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,0,84,0.5238,0.5507,0.3553,0.2898,0.0538,0.0667,0.0439,0.1376,0.3583
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,1,84,0.5833,0.5498,0.3408,0.2884,0.0509,0.0659,0.0437,0.1376,0.3424
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,2,84,0.5,0.541,0.3542,0.2982,0.0589,0.0677,0.0503,0.1376,0.3622
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,3,84,0.5476,0.5361,0.3557,0.2939,0.0629,0.0696,0.0471,0.1376,0.3606
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,4,84,0.5119,0.5416,0.3454,0.2924,0.0542,0.0673,0.0524,0.1376,0.3658
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,5,84,0.5714,0.551,0.3576,0.2822,0.0627,0.0722,0.0527,0.1376,0.3588
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,nominal,6,84,0.5595,0.5422,0.3651,0.2742,0.0642,0.073,0.05,0.1376,0.3676
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,0,84,0.5119,0.5005,0.3352,0.3036,0.0682,0.0882,0.0687,0.1495,0.3402
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,1,84,0.5119,0.5022,0.3515,0.2928,0.0702,0.078,0.068,0.1495,0.3616
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,2,84,0.4405,0.4968,0.3676,0.2959,0.0663,0.0813,0.0617,0.1495,0.3512
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,3,84,0.4167,0.5015,0.3509,0.3009,0.0732,0.0881,0.0702,0.1495,0.3391
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,4,84,0.4762,0.502,0.3522,0.2997,0.0689,0.0755,0.0654,0.1495,0.3399
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,5,84,0.4405,0.4995,0.3572,0.3005,0.0725,0.0887,0.0685,0.1495,0.339
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,seen_shift,6,84,0.4167,0.4995,0.3538,0.2959,0.0667,0.0832,0.0647,0.1495,0.329
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,0,84,0.5119,0.4823,0.3359,0.3064,0.0796,0.0859,0.0781,0.1554,0.3507
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,1,84,0.4881,0.4722,0.3629,0.3079,0.0737,0.0967,0.0831,0.1554,0.3384
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,2,84,0.5833,0.4835,0.336,0.296,0.0715,0.1023,0.0737,0.1554,0.3494
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,3,84,0.5714,0.4757,0.3524,0.3037,0.0764,0.1092,0.0721,0.1554,0.3501
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,4,84,0.4167,0.4742,0.3365,0.3091,0.0834,0.0931,0.0705,0.1554,0.3519
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,5,84,0.5,0.4704,0.3381,0.2979,0.0777,0.0977,0.0726,0.1554,0.3289
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_geometry,6,84,0.4524,0.4759,0.354,0.3073,0.0788,0.103,0.074,0.1554,0.3496
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,0,84,0.4167,0.4703,0.3235,0.3085,0.0736,0.0946,0.108,0.1588,0.3193
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,1,84,0.4762,0.4683,0.3322,0.3212,0.0799,0.0945,0.1106,0.1588,0.3402
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,2,84,0.4524,0.4555,0.3271,0.3235,0.0776,0.1006,0.1105,0.1588,0.3277
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,3,84,0.4881,0.4525,0.3324,0.3158,0.0765,0.1051,0.1063,0.1588,0.3417
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,4,84,0.3095,0.4623,0.3279,0.317,0.0772,0.1,0.1133,0.1588,0.3139
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,5,84,0.4405,0.4701,0.3336,0.3183,0.0795,0.1035,0.106,0.1588,0.3387
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,unseen_friction,6,84,0.4643,0.4582,0.3264,0.3203,0.0843,0.0941,0.1068,0.1588,0.3439
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,0,84,0.4286,0.4263,0.3036,0.3139,0.0902,0.1069,0.1154,0.169,0.3201
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,1,84,0.5,0.4307,0.3292,0.3232,0.0885,0.1211,0.1088,0.169,0.3244
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,2,84,0.4762,0.4225,0.3085,0.3243,0.0782,0.1128,0.1079,0.169,0.3246
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,3,84,0.381,0.4177,0.3151,0.3236,0.0934,0.1124,0.1189,0.169,0.3142
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,4,84,0.4524,0.4249,0.3185,0.3209,0.0871,0.1195,0.1217,0.169,0.3181
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,5,84,0.4167,0.428,0.3205,0.3238,0.0843,0.1181,0.1069,0.169,0.3309
diffusion_policy_surrogate,cable_routing,unilateral_lift_off,combined_stress,6,84,0.381,0.4296,0.346,0.3134,0.0878,0.1138,0.1197,0.169,0.3255
diffusion_policy_surrogate,cable_routing,contact_jamming,nominal,0,84,0.4286,0.5237,0.3296,0.2951,0.0647,0.0934,0.0484,0.1409,0.3495
diffusion_policy_surrogate,cable_routing,contact_jamming,nominal,1,84,0.5238,0.5287,0.3487,0.2865,0.072,0.094,0.0612,0.1409,0.363
diffusion_policy_surrogate,cable_routing,contact_jamming,nominal,2,84,0.5714,0.5284,0.3501,0.2934,0.0713,0.1072,0.0504,0.1409,0.3423
diffusion_policy_surrogate,cable_routing,contact_jamming,nominal,3,84,0.4643,0.5283,0.3641,0.2991,0.063,0.1061,0.0483,0.1409,0.3729
diffusion_policy_surrogate,cable_routing,contact_jamming,nominal,4,84,0.5357,0.5311,0.3614,0.2897,0.0634,0.0988,0.0434,0.1409,0.3432
diffusion_policy_surrogate,cable_routing,contact_jamming,nominal,5,84,0.5476,0.5344,0.3513,0.2986,0.0658,0.0928,0.046,0.1409,0.3518
